zipcode,median_income,total_pop,num_male,num_female,num_white,num_black,num_native,num_asian,num_pacific,num_other,num_mixed,num_hispanic,top_5_percent
01098,81875,1182,540,642,1173,0,0,0,0,6,3,0,0
01103,17736,1989,713,1276,937,392,11,58,0,446,145,1090,0
01104,40884,23150,9955,13195,14554,2691,83,306,0,2022,3494,13686,0
01105,21875,12651,6355,6296,6087,2784,0,88,0,1833,1859,8754,0
01106,123644,15982,7528,8454,14111,204,6,1155,0,102,404,1020,0
01107,30457,11693,5874,5819,7023,1497,39,87,0,2203,844,9252,0
01108,41807,26397,12481,13916,15145,5305,127,1620,0,2299,1901,10845,0
01109,35000,30684,14823,15861,14895,10684,160,631,14,2206,2094,13674,0
01118,70296,14839,7611,7228,10202,2425,24,705,0,364,1119,3535,0
01119,48324,13253,6160,7093,8615,2483,66,681,0,419,989,3705,0
01128,67422,2989,1360,1629,2241,291,0,111,0,77,269,690,0
01129,61769,6296,2940,3356,4429,1232,0,161,0,204,270,1428,0
01151,44291,9485,4275,5210,5712,2394,0,128,0,568,683,3521,0
01201,57160,43941,21222,22719,37636,1972,64,729,30,715,2795,3084,0
01220,47908,8129,4018,4111,7712,54,1,116,0,32,214,178,0
01222,58668,720,328,392,694,0,9,0,0,17,0,0,0
01223,66161,2499,1387,1112,2333,27,10,9,0,38,82,105,0
01225,72119,3093,1580,1513,2948,29,15,0,0,0,101,75,0
01226,73911,6698,3151,3547,6575,8,15,34,0,9,57,180,0
01230,68690,8354,3788,4566,7853,174,0,39,4,160,124,384,0
01235,67404,2369,1199,1170,2285,7,0,0,8,8,61,40,0
01236,63696,1577,763,814,1220,157,0,167,0,0,33,56,0
01237,76579,2522,1179,1343,2486,1,0,7,0,8,20,21,0
01238,77455,5980,2804,3176,5462,32,13,162,0,276,35,195,0
01240,72802,4666,2262,2404,4347,118,21,0,0,109,71,234,0
01243,62708,258,127,131,238,0,11,0,0,0,9,0,0
01244,50104,120,60,60,120,0,0,0,0,0,0,0,0
01245,109063,774,372,402,768,0,0,6,0,0,0,0,0
01247,52398,15340,7660,7680,13657,254,27,414,9,384,595,973,0
01253,88487,789,357,432,775,0,7,0,0,0,7,19,0
01254,96563,961,431,530,887,50,0,15,0,0,9,8,0
01255,77000,891,456,435,856,16,0,3,0,5,11,21,0
01256,47200,701,375,326,666,22,4,0,0,0,9,9,0
01257,64375,1858,932,926,1856,2,0,0,0,0,0,111,0
01258,74375,604,383,221,546,0,43,1,1,12,1,45,0
01259,78625,617,294,323,605,4,0,0,0,4,4,4,0
01260,107614,191,90,101,191,0,0,0,0,0,0,0,0
01262,39286,1136,484,652,978,62,6,47,0,27,16,42,0
01264,68750,214,90,124,197,5,0,0,0,12,0,30,0
01266,77500,1281,675,606,1144,58,16,19,2,30,12,65,0
01267,91917,7796,3639,4157,6489,371,62,412,0,129,333,336,0
01270,86912,897,468,429,762,0,0,12,0,0,123,0,0
01301,46931,17611,8570,9041,15921,402,15,172,0,438,663,1128,0
01330,72609,1594,874,720,1481,0,9,28,0,15,61,44,0
01331,61949,13609,6498,7111,12692,143,7,87,0,238,442,778,0
01337,69853,2442,1241,1201,2340,0,1,31,0,15,55,17,0
01338,64667,150,115,35,88,0,0,0,0,46,16,46,0
01339,60438,1410,661,749,1357,0,0,17,0,0,36,17,0
01340,60313,1780,917,863,1712,30,0,0,0,0,38,32,0
01341,92500,1796,856,940,1776,0,0,6,0,0,14,20,0
01342,103000,1165,555,610,985,45,0,11,0,0,124,78,0
01343,73125,78,40,38,69,0,0,0,0,9,0,9,0
01344,63333,1343,628,715,1278,22,15,0,0,0,28,48,0
01346,93400,544,285,259,513,0,0,0,0,0,31,27,0
01349,75417,1267,623,644,1123,0,5,17,0,0,122,5,0
01351,97054,2577,1186,1391,2503,24,30,0,0,0,20,7,0
01354,68173,1732,984,748,1615,34,0,55,0,0,28,2,0
01355,69038,981,545,436,758,0,7,6,0,100,110,4,0
01360,75900,2973,1398,1575,2813,8,0,6,0,79,67,121,0
01364,53949,7721,3531,4190,7388,66,36,57,0,0,174,197,0
01366,71818,1155,571,584,1101,5,0,10,3,12,24,46,0
01367,69375,519,237,282,456,6,0,1,0,21,35,15,0
01368,86607,1451,830,621,1439,0,0,8,0,0,4,0,0
01370,61711,3727,1795,1932,3400,17,4,105,0,0,201,120,0
01373,82105,4866,2313,2553,4652,0,0,31,0,0,183,240,0
01375,54524,3643,1832,1811,2954,17,0,397,70,0,205,219,0
01376,41369,4630,2256,2374,4275,28,0,4,0,135,188,373,0
01378,68839,738,380,358,712,0,2,4,0,3,17,17,0
01379,62813,835,438,397,745,44,0,7,0,11,28,29,0
01420,54683,40576,19754,20822,30004,2843,109,869,0,2828,3923,11947,0
01430,113045,6320,3145,3175,6158,64,0,22,0,0,76,177,0
01431,97269,3211,1678,1533,3094,7,0,23,0,0,87,70,0
01432,99195,7760,3927,3833,6790,339,15,320,0,0,296,277,0
01434,96500,2007,1624,383,1121,508,21,293,0,29,35,219,0
01436,70662,3538,2163,1375,3389,0,0,49,0,100,0,168,0
01438,100579,512,290,222,509,3,0,0,0,0,0,0,0
01440,51708,20605,10427,10178,17790,520,8,651,0,662,974,1839,0
01450,142500,11322,5853,5469,10252,40,0,486,0,21,523,357,0
01451,177422,4576,2349,2227,4158,0,0,119,0,41,258,335,0
01452,100255,4758,2388,2370,4364,122,0,147,0,0,125,181,0
01453,63263,41654,20304,21350,33525,2451,72,1164,0,1942,2500,7140,0
01460,125275,10152,4896,5256,9037,41,8,768,0,43,255,153,0
01462,99601,11530,5748,5782,10867,183,0,118,0,118,244,701,0
01463,105377,12113,5935,6178,11042,97,0,689,0,53,232,226,0
01464,89247,7616,4843,2773,5957,741,0,290,0,488,140,625,0
01468,82173,4065,1964,2101,3732,0,20,313,0,0,0,24,0
