zipcode,min_distance
16232,20256.134298228
16240,32432.9387666443
16259,13098.4031191046
16262,15529.5965308048
16319,7293.28042713306
16364,13266.2027631087
16373,19111.3460986039
16611,32073.1252007517
16726,76218.3052970894
16865,11376.3571046305
16922,77017.7052962878
17022,11422.9265272916
17044,0
17052,44523.3094843975
17086,23878.2572506466
17110,5927.58222860471
17215,50608.4377883429
17222,24110.5434055467
17241,41814.6079618678
17264,56352.7865252558
17502,18947.6066220013
17509,21829.4498965144
17555,18452.9177911159
17744,25307.1270942447
17768,25592.2764118027
05343,43364.7845913914
05450,56358.6670687089
05471,63775.3241122682
05492,43715.1617092288
05652,49424.2852483801
05675,28246.9839992422
05832,65827.2935227458
05836,38965.8530236774
05860,70283.043805801
05907,96935.4734841
05731,32958.2832275422
05033,31106.2574031033
05037,23731.2295021085
05043,9285.23588124762
05142,33335.0072504732
05355,41774.496252697
05647,29304.6771891251
05769,35730.8581178493
05820,55078.5467946978
05902,111806.046251322
05035,18930.2562729484
05086,31075.861431599
05148,44056.2100687144
05250,42370.4146737972
05446,8828.34099371773
15241,0
15330,13599.3412159761
15419,21606.6328454196
15536,53631.3782727058
15540,44603.1418167644
15544,26728.5922647096
15601,0
15644,7441.71741010178
15690,15650.4303764142
15736,15041.8246690492
15801,0
15846,24585.0849314495
15857,39804.0383229934
15926,32266.7523413449
15944,14685.1026114222
15946,24162.8069773746
16036,27080.6106534884
16055,8384.21722757549
16145,33542.4796489673
16210,10468.3281858526
16258,37316.6713872343
16313,58721.8986174952
16401,34583.243112536
16420,36773.868189571
17737,18367.8433803447
17747,32089.4433730778
17754,3468.89728213566
17815,15691.7574792004
17864,11994.0831135297
17870,0
17922,16557.8682065179
17967,18970.5694257833
17981,13734.1201247388
17985,24104.5625352833
18066,24479.1512325029
18229,22925.6546118467
18302,8726.41460552437
18356,6226.51142023772
18451,31121.1515722069
18460,27007.4813970167
18619,17548.0678478974
18632,44982.6102296515
18821,29836.6207673219
18854,24646.4104876149
19027,3499.87566669398
19152,2861.81495578923
19310,25167.8319096625
19355,4231.21681042098
17771,16449.5318860327
17812,30356.3728313557
17846,21082.0288630177
17862,15149.4906363381
17866,20527.928528741
17885,31422.9926108791
17976,14593.3701883223
18018,3740.27132549252
18042,0
18072,21647.4474612733
18250,16876.9438053382
18254,4133.63289781163
18325,21848.7760448066
18334,22281.5846445637
18407,19314.1614825948
18443,47865.9654091878
18510,0
18621,35584.743481112
18830,26038.3914986315
18913,10288.2622438255
18947,10863.3319377086
19020,6912.14898772829
19054,7801.38023812051
19111,0
05464,36031.4743405753
05474,21598.6156262153
05476,69439.469183652
05491,40234.8514475236
05677,14065.3809500428
05759,11300.2688492908
05777,14365.0299254366
05850,55395.0070638289
72524,57981.4797767609
72538,77069.519176095
72546,99313.9407113695
72578,86067.158567678
72634,79165.2783955234
72686,111767.834071385
72719,7383.77363754533
72758,0
72821,59188.5425158009
72838,72458.1430307751
72853,64051.3861624413
72937,24122.4931271097
71638,136307.880080629
71749,103698.119845331
71758,118578.611898466
71835,92351.4691956506
16509,10656.7173423364
16511,12254.9427706464
16622,49443.0826443406
16625,34803.3731292997
16674,60512.2969385558
16695,49167.8880578834
16822,41766.3572542768
16836,38536.0652108755
